"language","id","productCode","active","name","description","benefits","brand","width","height","depth","diameter","volume","weight","countryOfOrigin","customsCode","listImage","packaging.width","packaging.height","packaging.depth","packaging.volume","packaging.capacity","packaging.weight","materials","imprintRequired","imprintTemplate","price.type","price.currency","minQty.1","maxQty.1","price.1","minQty.2","maxQty.2","price.2","minQty.3","maxQty.3","price.3","minQty.4","maxQty.4","price.4","minQty.5","maxQty.5","price.5","minQty.6","maxQty.6","price.6","minQty.7","maxQty.7","price.7","minQty.8","maxQty.8","price.8","minQty.9","maxQty.9","price.9","minQty.10","maxQty.10","price.10"
"sv","01t1n00000COJZxAAP","3460001111","1","BIC® 4 Colours Fine kulpenna + Lanyard","Enkelt, uppfinningsrikt, tillförlitligt och nu i smalt utförande! Produktfamiljen BIC® 4 Colours välkomnar sin färgglada smala version. Den innehåller bläck i 4 standardfärger: blått, svart, rött och grönt. Även tillgänglig som löstagbar från halssnodd.","Fine point 0,8 mm. | 4 pennor i 1! | Stort tryckområde, nästan 360º. | Pålitlig infällningsmekanism: patronerna blockeras inte. | Full egen tillverkning. | Den perfekt sfäriska volframkarbidbollen bidrar till konsekvent skrivning. | Bläck med lång livslängd: hög kvalitet, snabbtorkning och smidig skrivning. | Ikonisk design sedan mer än 45 år som fortfarande sätter trenden för skrivinstrument.","BIC®","1.60 cm","14.40 cm","1.10 cm","1.10 cm","25.34 cm3","20.00 g","Frankrike","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/JjfEWVs6Nl0upfDKUpWkTVD-GE2F-CMNVQy133aILCYjx5Brl6blBQuUVcmjByIplzW2Ur-pV5JIuXMBpGAWXo-6rGqbcsRo3trS3Pg6LS5MiSotCuCLBw1Dt7rL0Q3Tc5lpKHjcCYYBm3NiGPL61MueaDxxEUzWPtRCA1UkMWQ=","45.00 cm","19.00 cm","22.00 cm","18810.00 cm3","300 u.","6000.00 g","Plastic","1","https://api.everisbigcontent.com/edms/rest/v1/links/H6S-1iJf9Ysv9gnlF3_tfAooH93u-p6HkjCmks8FGbkvlJwdozK1dmyNaIBASbfJEn_RgwwFseFrBg3v-ww1tlO0EKvjNftdX5tgp3SA3ZisBCNcPZjCo60DICnPYvlG3rtHYU2l6fYEbt6BZxT4f_YSwQnxA_vEk8I3hME0KBw=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"de","01t1n00000Bi9xtAAB","3460001000","1","BIC® Clic Stic Kugelschreiber","Modern, flexibel, zuverlässig. So ist BIC® Clic Stic! In einer großen Vielfalt von Oberflächen wie Digital, Stylus, Softfeel® und tausenden von Farbkombinationen erhältlich!","Die BIC®-Marke wird von 9 von 10 Personen anerkannt: Verbinden Sie Ihren Namen mit einem hochwertigen vertrauenswürdigen Produkt. | Mix & Match Frosted und undurchsichtigen Farbkomponenten, um mehr als 4.000 verschiedene Kombinationen zu erstellen! | Zuverlässiger Mechanismus zum Maßstab: Sie können mehr als 10.000 Mal auf Ihr BIC® klicken! | Vollständige fertige Herstellung. | Der perfekt kugelförmige Wolfram -Carbidball trägt zu konsequentem Schreiben bei. | Long-Life-Tinte: hohe Qualität, schnelles Trocknen und reibungsloses Schreiben.","BIC®","1.20 cm","14.00 cm","0.90 cm","0.90 cm","15.12 cm3","5.80 g","Spanien","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/N9zfDTBPQUEYVVApBjbMPzo7kRtio49cxdEOalMOsLZDGJ2QoIZfuAOSAeJpvHBal3xTj0PE3rMZHcruxOWitckrtQ8RtBljiQ0OFbbNMd9ITIuGIip9iyBseGehXMu4-9QJ9Nr1HEXm2D_r9xvNIoQcKKeXgb9pZFRuHf0UsJM=","40.00 cm","16.50 cm","15.80 cm","10428.00 cm3","500 u.","2900.00 g","Kunststoff","1","https://api.everisbigcontent.com/edms/rest/v1/links/j7ESTQbgh3SDEkqAo8R9720z51cettFGYxJDOgvRyiagZrCT3DL8yKq2lf_TJdyLU5Nnp8LL-gVA33zxSvnDpDrBTDDogjfQRI3QtLgU6NfMr1abd7YoXC5Ln0dG5-j9X4ZZYY3UVhJACS81x3E9mwXnzMYaTYPiavtd90WsNAE=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"en","01t1n00000Bi9xtAAB","3460001000","1","BIC® Clic Stic ballpen","Modern, flexible, reliable. That's how BIC® Clic Stic is! A large variety of finishes such as Digital, Stylus, Softfeel®, and thousands of colour combinations!","BIC® brand is recognised by 9 out of 10 people: associate your name with a high-quality trusted product. | Mix & Match frosted and opaque colour components to create more than 4,000 different combinations! | Reliable plunger action mechanism: you can click your BIC® more than 10,000 times! | Full in-house manufacturing. | The perfectly spherical tungsten carbide ball contributes to consistent writing. | Long-life ink: high quality, quick drying and smooth writing.","BIC®","1.20 cm","14.00 cm","0.90 cm","0.90 cm","15.12 cm3","5.80 g","Spain","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/N9zfDTBPQUEYVVApBjbMPzo7kRtio49cxdEOalMOsLZDGJ2QoIZfuAOSAeJpvHBal3xTj0PE3rMZHcruxOWitckrtQ8RtBljiQ0OFbbNMd9ITIuGIip9iyBseGehXMu4-9QJ9Nr1HEXm2D_r9xvNIoQcKKeXgb9pZFRuHf0UsJM=","40.00 cm","16.50 cm","15.80 cm","10428.00 cm3","500 u.","2900.00 g","Plastic","1","https://api.everisbigcontent.com/edms/rest/v1/links/j7ESTQbgh3SDEkqAo8R9720z51cettFGYxJDOgvRyiagZrCT3DL8yKq2lf_TJdyLU5Nnp8LL-gVA33zxSvnDpDrBTDDogjfQRI3QtLgU6NfMr1abd7YoXC5Ln0dG5-j9X4ZZYY3UVhJACS81x3E9mwXnzMYaTYPiavtd90WsNAE=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"es","01t1n00000Bi9xtAAB","3460001000","1","BIC® Clic Stic bolígrafo","Moderno, flexible, fiable. ¡Así es BIC® Clic Stic! Amplia variedad de acabados, como Digital, Stylus, Softfeel® y ¡miles de combinaciones de colores!","La marca Bic® es reconocida por 9 de cada 10 personas: asocie su nombre con un producto de confianza de alta calidad. | ¡Mezcle y combina los componentes de color esmerilado y opaco para crear más de 4,000 combinaciones diferentes! | Mecanismo de acción confiable del émbolo: ¡puede hacer clic en su BIC® más de 10,000 veces! | Fabricación completa interna. | La pelota de carburo de tungsteno perfectamente esférica contribuye a una escritura constante. | Tinta de larga duración: alta calidad, secado rápido y escritura suave.","BIC®","1.20 cm","14.00 cm","0.90 cm","0.90 cm","15.12 cm3","5.80 g","España","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/N9zfDTBPQUEYVVApBjbMPzo7kRtio49cxdEOalMOsLZDGJ2QoIZfuAOSAeJpvHBal3xTj0PE3rMZHcruxOWitckrtQ8RtBljiQ0OFbbNMd9ITIuGIip9iyBseGehXMu4-9QJ9Nr1HEXm2D_r9xvNIoQcKKeXgb9pZFRuHf0UsJM=","40.00 cm","16.50 cm","15.80 cm","10428.00 cm3","500 u.","2900.00 g","Plástico","1","https://api.everisbigcontent.com/edms/rest/v1/links/j7ESTQbgh3SDEkqAo8R9720z51cettFGYxJDOgvRyiagZrCT3DL8yKq2lf_TJdyLU5Nnp8LL-gVA33zxSvnDpDrBTDDogjfQRI3QtLgU6NfMr1abd7YoXC5Ln0dG5-j9X4ZZYY3UVhJACS81x3E9mwXnzMYaTYPiavtd90WsNAE=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fi","01t1n00000Bi9xtAAB","3460001000","1","BIC® Clic Stic kuulakärkikynä","Moderni, joustava, luotettava. Sitä on BIC Clic Stic! Laaja valikoima eri vaihtoehtoja, kuten: Digital, Softfeel, Mini ja Antimicrobial, ja lisäksi yli 4 000 väriyhdistelmää!","BIC® brand is recognised by 9 out of 10 people: associate your name with a high-quality trusted product. | Mix & Match frosted and opaque colour components to create more than 4,000 different combinations! | Reliable plunger action mechanism: you can click your BIC® more than 10,000 times! | Full in-house manufacturing. | The perfectly spherical tungsten carbide ball contributes to consistent writing. | Long-life ink: high quality, quick drying and smooth writing.","BIC®","1.20 cm","14.00 cm","0.90 cm","0.90 cm","15.12 cm3","5.80 g","Espanja","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/N9zfDTBPQUEYVVApBjbMPzo7kRtio49cxdEOalMOsLZDGJ2QoIZfuAOSAeJpvHBal3xTj0PE3rMZHcruxOWitckrtQ8RtBljiQ0OFbbNMd9ITIuGIip9iyBseGehXMu4-9QJ9Nr1HEXm2D_r9xvNIoQcKKeXgb9pZFRuHf0UsJM=","40.00 cm","16.50 cm","15.80 cm","10428.00 cm3","500 u.","2900.00 g","Plastic","1","https://api.everisbigcontent.com/edms/rest/v1/links/j7ESTQbgh3SDEkqAo8R9720z51cettFGYxJDOgvRyiagZrCT3DL8yKq2lf_TJdyLU5Nnp8LL-gVA33zxSvnDpDrBTDDogjfQRI3QtLgU6NfMr1abd7YoXC5Ln0dG5-j9X4ZZYY3UVhJACS81x3E9mwXnzMYaTYPiavtd90WsNAE=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fr","01t1n00000Bi9xtAAB","3460001000","1","BIC® Clic Stic bille","Moderne, fiable, flexible. C’est la définition même du BIC® Clic Stic! Une grande variété de finitions telles que Digital, Stylus, Softfeel®, et plus de mille combinaisons de couleurs!","La marque BIC® est reconnue par 9 personnes sur 10: associez votre nom à un produit de confiance de haute qualité. | Mélanger et assortir des composants de couleur givrés et opaques pour créer plus de 4 000 combinaisons différentes! | Mécanisme d'action de piston fiable: vous pouvez cliquer sur votre BIC® plus de 10 000 fois! | Fabrication interne complète. | La boule en carbure de tungstène parfaitement sphérique contribue à une écriture cohérente. | Encre à longue durée de vie: haute qualité, séchage rapide et écriture en douceur.","BIC®","1.20 cm","14.00 cm","0.90 cm","0.90 cm","15.12 cm3","5.80 g","Espagne","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/N9zfDTBPQUEYVVApBjbMPzo7kRtio49cxdEOalMOsLZDGJ2QoIZfuAOSAeJpvHBal3xTj0PE3rMZHcruxOWitckrtQ8RtBljiQ0OFbbNMd9ITIuGIip9iyBseGehXMu4-9QJ9Nr1HEXm2D_r9xvNIoQcKKeXgb9pZFRuHf0UsJM=","40.00 cm","16.50 cm","15.80 cm","10428.00 cm3","500 u.","2900.00 g","Plastique","1","https://api.everisbigcontent.com/edms/rest/v1/links/j7ESTQbgh3SDEkqAo8R9720z51cettFGYxJDOgvRyiagZrCT3DL8yKq2lf_TJdyLU5Nnp8LL-gVA33zxSvnDpDrBTDDogjfQRI3QtLgU6NfMr1abd7YoXC5Ln0dG5-j9X4ZZYY3UVhJACS81x3E9mwXnzMYaTYPiavtd90WsNAE=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"it","01t1n00000Bi9xtAAB","3460001000","1","BIC® Clic Stic penna a sfera","Moderna, flessibile, affidabile. Ecco com'è BIC® Clic Stic! Una grande varietà di rifiniture come Digital, Stylus, Softfeel®, e migliaglia di combinazioni di colore!","Il marchio BIC® è riconosciuto da 9 persone su 10: associa il tuo nome a un prodotto di alta qualità. | Mescola e abbina componenti a colori glassati e opachi per creare più di 4.000 combinazioni diverse! | Meccanismo di azione dello stantuffo affidabile: puoi fare clic sul tuo BIC® più di 10.000 volte! | Produzione interna. | La palla in carburo di tungsteno perfettamente sferiche contribuisce a una scrittura costante. | Inchiostro di lunga durata: alta qualità, asciugatura rapida e scrittura liscia.","BIC®","1.20 cm","14.00 cm","0.90 cm","0.90 cm","15.12 cm3","5.80 g","Spagna","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/N9zfDTBPQUEYVVApBjbMPzo7kRtio49cxdEOalMOsLZDGJ2QoIZfuAOSAeJpvHBal3xTj0PE3rMZHcruxOWitckrtQ8RtBljiQ0OFbbNMd9ITIuGIip9iyBseGehXMu4-9QJ9Nr1HEXm2D_r9xvNIoQcKKeXgb9pZFRuHf0UsJM=","40.00 cm","16.50 cm","15.80 cm","10428.00 cm3","500 u.","2900.00 g","Plastica","1","https://api.everisbigcontent.com/edms/rest/v1/links/j7ESTQbgh3SDEkqAo8R9720z51cettFGYxJDOgvRyiagZrCT3DL8yKq2lf_TJdyLU5Nnp8LL-gVA33zxSvnDpDrBTDDogjfQRI3QtLgU6NfMr1abd7YoXC5Ln0dG5-j9X4ZZYY3UVhJACS81x3E9mwXnzMYaTYPiavtd90WsNAE=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nl","01t1n00000Bi9xtAAB","3460001000","1","BIC® Clic Stic balpen","Modern, flexibel, betrouwbaar. Dat is BIC® Clic Stic! Mix&Match matt en frosted kleurencomponenten voor maximale personalisatie.","BIC® brand is recognised by 9 out of 10 people: associate your name with a high-quality trusted product. | Mix & Match frosted and opaque colour components to create more than 4,000 different combinations! | Reliable plunger action mechanism: you can click your BIC® more than 10,000 times! | Full in-house manufacturing. | The perfectly spherical tungsten carbide ball contributes to consistent writing. | Long-life ink: high quality, quick drying and smooth writing.","BIC®","1.20 cm","14.00 cm","0.90 cm","0.90 cm","15.12 cm3","5.80 g","Spanje","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/N9zfDTBPQUEYVVApBjbMPzo7kRtio49cxdEOalMOsLZDGJ2QoIZfuAOSAeJpvHBal3xTj0PE3rMZHcruxOWitckrtQ8RtBljiQ0OFbbNMd9ITIuGIip9iyBseGehXMu4-9QJ9Nr1HEXm2D_r9xvNIoQcKKeXgb9pZFRuHf0UsJM=","40.00 cm","16.50 cm","15.80 cm","10428.00 cm3","500 u.","2900.00 g","Plastiek","1","https://api.everisbigcontent.com/edms/rest/v1/links/j7ESTQbgh3SDEkqAo8R9720z51cettFGYxJDOgvRyiagZrCT3DL8yKq2lf_TJdyLU5Nnp8LL-gVA33zxSvnDpDrBTDDogjfQRI3QtLgU6NfMr1abd7YoXC5Ln0dG5-j9X4ZZYY3UVhJACS81x3E9mwXnzMYaTYPiavtd90WsNAE=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pt","01t1n00000Bi9xtAAB","3460001000","1","BIC® Clic Stic esferográfica","Moderna, flexível, segura. É assim a BIC® Clic Stic! Componentes coloridos Mix & Match opacos e translúcidos para uma personalização máxima.","BIC® brand is recognised by 9 out of 10 people: associate your name with a high-quality trusted product. | Mix & Match frosted and opaque colour components to create more than 4,000 different combinations! | Reliable plunger action mechanism: you can click your BIC® more than 10,000 times! | Full in-house manufacturing. | The perfectly spherical tungsten carbide ball contributes to consistent writing. | Long-life ink: high quality, quick drying and smooth writing.","BIC®","1.20 cm","14.00 cm","0.90 cm","0.90 cm","15.12 cm3","5.80 g","Espanha","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/N9zfDTBPQUEYVVApBjbMPzo7kRtio49cxdEOalMOsLZDGJ2QoIZfuAOSAeJpvHBal3xTj0PE3rMZHcruxOWitckrtQ8RtBljiQ0OFbbNMd9ITIuGIip9iyBseGehXMu4-9QJ9Nr1HEXm2D_r9xvNIoQcKKeXgb9pZFRuHf0UsJM=","40.00 cm","16.50 cm","15.80 cm","10428.00 cm3","500 u.","2900.00 g","Plástico","1","https://api.everisbigcontent.com/edms/rest/v1/links/j7ESTQbgh3SDEkqAo8R9720z51cettFGYxJDOgvRyiagZrCT3DL8yKq2lf_TJdyLU5Nnp8LL-gVA33zxSvnDpDrBTDDogjfQRI3QtLgU6NfMr1abd7YoXC5Ln0dG5-j9X4ZZYY3UVhJACS81x3E9mwXnzMYaTYPiavtd90WsNAE=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sv","01t1n00000Bi9xtAAB","3460001000","1","BIC® Clic Stic kulpenna","Modern, flexibel, tillförlitlig. Det stämmer in på BIC® Clic Stic! Ett stort utbud av ytbehandlingar, såsom Digital, Stylus, Softfeel® eller Mini, och i tusentals färgkombinationer!","BIC®-varumärket känns igen av 9 av 10 personer: koppla ditt namn till en pålitlig produkt av hög kvalitet. | Mixa & Matcha frostade och opaka färgkomponenter för att skapa mer än 4 000 olika kombinationer! | Pålitlig handlingsmekanism: du kan klicka på din BIC® mer än 10 000 gånger! | Helt egen tillverkning. | Den perfekt sfäriska volframkarbidbollen bidrar till konsekvent skrivning. | Bläck med lång livslängd: hög kvalitet, snabbtorkning och smidig skrivning.","BIC®","1.20 cm","14.00 cm","0.90 cm","0.90 cm","15.12 cm3","5.80 g","Spanien","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/N9zfDTBPQUEYVVApBjbMPzo7kRtio49cxdEOalMOsLZDGJ2QoIZfuAOSAeJpvHBal3xTj0PE3rMZHcruxOWitckrtQ8RtBljiQ0OFbbNMd9ITIuGIip9iyBseGehXMu4-9QJ9Nr1HEXm2D_r9xvNIoQcKKeXgb9pZFRuHf0UsJM=","40.00 cm","16.50 cm","15.80 cm","10428.00 cm3","500 u.","2900.00 g","Plastic","1","https://api.everisbigcontent.com/edms/rest/v1/links/j7ESTQbgh3SDEkqAo8R9720z51cettFGYxJDOgvRyiagZrCT3DL8yKq2lf_TJdyLU5Nnp8LL-gVA33zxSvnDpDrBTDDogjfQRI3QtLgU6NfMr1abd7YoXC5Ln0dG5-j9X4ZZYY3UVhJACS81x3E9mwXnzMYaTYPiavtd90WsNAE=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"de","01t1n00000Bi9xzAAB","3460001073","1","BIC® Super Clip Advance Kugelschreiber","Des präziseren und komfortableren Schreibens! Verleihen Sie Ihrer Botschaft einen Premium-Look durch diese Version mitverchromter Metallspitze.","Premium-Metall-Auftritt für unseren Top-Vollfarb-Kommunikator!|Jetzt mit Metallkomponenten erhältlich!|Präzises und komfortables Schreiben im Premium-Look!|Top Markenkontakt dank der großen Kommunikationsfläche!","BIC®","1.20 cm","14.40 cm","1.00 cm","1.00 cm","17.28 cm3","15.57 g","Spanien","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/mKzE0srp2ea5F6g0aOgLgt-KysFqruy5Ton-2_FKaLkOZ185zotjHo7caNoSljclCsu1yWsu_PQyFH2wDzgZSrO2Kcp_XzdF_x8AgE6yCBWQMMksA0kbXnNb0veXSA8BJgiDCChh6-lELHUFh3V2Dc2uTN4VlUtL56Ja2k9Y6aU=","32.40 cm","13.60 cm","15.20 cm","6697.73 cm3","250 u.","3892.50 g","Metall, Kunststoff","1","https://api.everisbigcontent.com/edms/rest/v1/links/NbTIQAK4SQjZxjh-vCE_zRnDIjEUtprkIUIdIuEU2R6ZLCFJz2IWDu0nYg1xbAHa3otNtt0-_5jHYSMGUH3v5fvNbZs_NE8-K364tJKg1JC2lzfYzozX1HDivQsublkdL1jDHa_ufogsJFy908hyw3f8W2qR1qfn_FCOAxiSwCE=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"en","01t1n00000Bi9xzAAB","3460001073","1","BIC® Super Clip Advance","Precise and comfortable writing and add a premium look to your communication with this version with chrome-plated metal section.","Precise and comfortable writing. | Unbreakable twist mechanism. | Large printing area on the barrel and on the clip. | Stylish and modern design upgraded with a shiny metal touch at a competitive price.","BIC®","1.20 cm","14.40 cm","1.00 cm","1.00 cm","17.28 cm3","15.57 g","Spain","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/mKzE0srp2ea5F6g0aOgLgt-KysFqruy5Ton-2_FKaLkOZ185zotjHo7caNoSljclCsu1yWsu_PQyFH2wDzgZSrO2Kcp_XzdF_x8AgE6yCBWQMMksA0kbXnNb0veXSA8BJgiDCChh6-lELHUFh3V2Dc2uTN4VlUtL56Ja2k9Y6aU=","32.40 cm","13.60 cm","15.20 cm","6697.73 cm3","250 u.","3892.50 g","Metal, Plastic","1","https://api.everisbigcontent.com/edms/rest/v1/links/NbTIQAK4SQjZxjh-vCE_zRnDIjEUtprkIUIdIuEU2R6ZLCFJz2IWDu0nYg1xbAHa3otNtt0-_5jHYSMGUH3v5fvNbZs_NE8-K364tJKg1JC2lzfYzozX1HDivQsublkdL1jDHa_ufogsJFy908hyw3f8W2qR1qfn_FCOAxiSwCE=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"es","01t1n00000Bi9xzAAB","3460001073","1","BIC® Super Clip Advance bolígrafo","Una escritura más cómoda y precisa, añadimos un look Premium a tu comunicación con esta versión con la sección plateada cromada.","¡Un acabado metálico para la versión premium del comunicador número uno!|¡Ahora disponible con sección metálica!|¡Escritura precisa y confortable con un look premium!|Destaca tu marca gracias a su gran área de impresión","BIC®","1.20 cm","14.40 cm","1.00 cm","1.00 cm","17.28 cm3","15.57 g","España","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/mKzE0srp2ea5F6g0aOgLgt-KysFqruy5Ton-2_FKaLkOZ185zotjHo7caNoSljclCsu1yWsu_PQyFH2wDzgZSrO2Kcp_XzdF_x8AgE6yCBWQMMksA0kbXnNb0veXSA8BJgiDCChh6-lELHUFh3V2Dc2uTN4VlUtL56Ja2k9Y6aU=","32.40 cm","13.60 cm","15.20 cm","6697.73 cm3","250 u.","3892.50 g","Metal, Plástico","1","https://api.everisbigcontent.com/edms/rest/v1/links/NbTIQAK4SQjZxjh-vCE_zRnDIjEUtprkIUIdIuEU2R6ZLCFJz2IWDu0nYg1xbAHa3otNtt0-_5jHYSMGUH3v5fvNbZs_NE8-K364tJKg1JC2lzfYzozX1HDivQsublkdL1jDHa_ufogsJFy908hyw3f8W2qR1qfn_FCOAxiSwCE=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fi","01t1n00000Bi9xzAAB","3460001073","1","BIC® Super klipsi Advance kuulakärkikynä","Tyylikäs ja moderni muotoilu nyt metallikärjellä. Monipuolisen mainosviestinnän tarjoava kynä saa nyt lisää arvokkuutta ja edullista kirjoitusmukavuutta.","Precise and comfortable writing. | Unbreakable twist mechanism. | Large printing area on the barrel and on the clip. | Stylish and modern design upgraded with a shiny metal touch at a competitive price.","BIC®","1.20 cm","14.40 cm","1.00 cm","1.00 cm","17.28 cm3","15.57 g","Espanja","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/mKzE0srp2ea5F6g0aOgLgt-KysFqruy5Ton-2_FKaLkOZ185zotjHo7caNoSljclCsu1yWsu_PQyFH2wDzgZSrO2Kcp_XzdF_x8AgE6yCBWQMMksA0kbXnNb0veXSA8BJgiDCChh6-lELHUFh3V2Dc2uTN4VlUtL56Ja2k9Y6aU=","32.40 cm","13.60 cm","15.20 cm","6697.73 cm3","250 u.","3892.50 g","Metal, Plastic","1","https://api.everisbigcontent.com/edms/rest/v1/links/NbTIQAK4SQjZxjh-vCE_zRnDIjEUtprkIUIdIuEU2R6ZLCFJz2IWDu0nYg1xbAHa3otNtt0-_5jHYSMGUH3v5fvNbZs_NE8-K364tJKg1JC2lzfYzozX1HDivQsublkdL1jDHa_ufogsJFy908hyw3f8W2qR1qfn_FCOAxiSwCE=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fr","01t1n00000Bi9xzAAB","3460001073","1","BIC® Super Clip Advance bille","Une écriture plus confortable et precise, ajoutez un look Premium à votre communication avec cette version incluant une partie chromée argentée.","Une touche métallisée haut de gamme pour notre champion de la communication en couleur| Désormais disponible avec section métallisée !|Écriture précise et confortable avec un look haut de gamme !|Mise en valeur de la marque grâce à la grande surface d’impression","BIC®","1.20 cm","14.40 cm","1.00 cm","1.00 cm","17.28 cm3","15.57 g","Espagne","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/mKzE0srp2ea5F6g0aOgLgt-KysFqruy5Ton-2_FKaLkOZ185zotjHo7caNoSljclCsu1yWsu_PQyFH2wDzgZSrO2Kcp_XzdF_x8AgE6yCBWQMMksA0kbXnNb0veXSA8BJgiDCChh6-lELHUFh3V2Dc2uTN4VlUtL56Ja2k9Y6aU=","32.40 cm","13.60 cm","15.20 cm","6697.73 cm3","250 u.","3892.50 g","Métal, Plastique","1","https://api.everisbigcontent.com/edms/rest/v1/links/NbTIQAK4SQjZxjh-vCE_zRnDIjEUtprkIUIdIuEU2R6ZLCFJz2IWDu0nYg1xbAHa3otNtt0-_5jHYSMGUH3v5fvNbZs_NE8-K364tJKg1JC2lzfYzozX1HDivQsublkdL1jDHa_ufogsJFy908hyw3f8W2qR1qfn_FCOAxiSwCE=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"it","01t1n00000Bi9xzAAB","3460001073","1","BIC® Super Clip Advance penna a sfera","Una scrittura piú comoda e precisa. Dona un aspetto Premium alla tua comunicazione con questa versione con puntale in metallo cromato.","Un elegante tocco metallico per il nostro miglior strumento di comunicazione full colour! |Ora disponibile con sezione metallica!|Scrittura precisa e confortevole con un look d’eccellenza!| La migliore visibilità al tuo marchio grazie all’ampia superficie di stampa!","BIC®","1.20 cm","14.40 cm","1.00 cm","1.00 cm","17.28 cm3","15.57 g","Spagna","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/mKzE0srp2ea5F6g0aOgLgt-KysFqruy5Ton-2_FKaLkOZ185zotjHo7caNoSljclCsu1yWsu_PQyFH2wDzgZSrO2Kcp_XzdF_x8AgE6yCBWQMMksA0kbXnNb0veXSA8BJgiDCChh6-lELHUFh3V2Dc2uTN4VlUtL56Ja2k9Y6aU=","32.40 cm","13.60 cm","15.20 cm","6697.73 cm3","250 u.","3892.50 g","Metallo, Plastica","1","https://api.everisbigcontent.com/edms/rest/v1/links/NbTIQAK4SQjZxjh-vCE_zRnDIjEUtprkIUIdIuEU2R6ZLCFJz2IWDu0nYg1xbAHa3otNtt0-_5jHYSMGUH3v5fvNbZs_NE8-K364tJKg1JC2lzfYzozX1HDivQsublkdL1jDHa_ufogsJFy908hyw3f8W2qR1qfn_FCOAxiSwCE=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nl","01t1n00000Bi9xzAAB","3460001073","1","BIC® Super Clip Advance balpen","Nauwkeurig en comfortabel schrijven. Voeg een premium look toe aan uw communicatie met deze uitvoering met verchroomd metalen onderdeel.","Een metalen touch voor onze uitstekende full colour communicator!|Nu met metalen mondstuk beschikbaar|Precies en comfortabel schrijven met een premium look!|Opvallende weergave van het merk dankzij het grote communicatie-oppervlak!","BIC®","1.20 cm","14.40 cm","1.00 cm","1.00 cm","17.28 cm3","15.57 g","Spanje","9608109200","https://api.everisbigcontent.com/edms/rest/v1/links/mKzE0srp2ea5F6g0aOgLgt-KysFqruy5Ton-2_FKaLkOZ185zotjHo7caNoSljclCsu1yWsu_PQyFH2wDzgZSrO2Kcp_XzdF_x8AgE6yCBWQMMksA0kbXnNb0veXSA8BJgiDCChh6-lELHUFh3V2Dc2uTN4VlUtL56Ja2k9Y6aU=","32.40 cm","13.60 cm","15.20 cm","6697.73 cm3","250 u.","3892.50 g","Metaal, Plastiek","1","https://api.everisbigcontent.com/edms/rest/v1/links/NbTIQAK4SQjZxjh-vCE_zRnDIjEUtprkIUIdIuEU2R6ZLCFJz2IWDu0nYg1xbAHa3otNtt0-_5jHYSMGUH3v5fvNbZs_NE8-K364tJKg1JC2lzfYzozX1HDivQsublkdL1jDHa_ufogsJFy908hyw3f8W2qR1qfn_FCOAxiSwCE=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
